Generic Name,RXCUI,Therapeutic Class
cefotetan,2187,Second-generation cephalosporins
cefotetan,2187,Abscess
cefotetan,2187,Bacteroides Infections
cefotetan,2187,"Bites, Human"
cefotetan,2187,"Bone Diseases, Infectious"
cefotetan,2187,Clostridium Infections
cefotetan,2187,Drug Hypersensitivity
cefotetan,2187,Escherichia coli Infections
cefotetan,2187,Fusobacterium Infections
cefotetan,2187,Gonorrhea
cefotetan,2187,Haemophilus Infections
cefotetan,2187,Klebsiella Infections
cefotetan,2187,Peritonitis
cefotetan,2187,"Pregnancy Complications, Infectious"
cefotetan,2187,Proteus Infections
cefotetan,2187,Respiratory Tract Infections
cefotetan,2187,Staphylococcal Infections
cefotetan,2187,Streptococcal Infections
cefotetan,2187,Surgical Wound Infection
cefotetan,2187,Urinary Tract Infections
cefotetan,2187,Cefotetan
cefotetan,2187,"Skin Diseases, Bacterial"
cefotetan,2187,Soft Tissue Infections
cefotetan,2187,Sepsis
cefotetan,2187,Enzyme Inhibitors
cefotetan,2187,Decreased Cell Wall Synthesis & Repair
cefotetan,2187,Antibacterial Agent
cefotetan,2187,Second generation cephalosporin antibacterial agent
cefotetan,2187,Cephalosporins
cefotetan,2187,Cephalosporin Antibacterial
cefotiam,2188,Second generation cephalosporin antibacterial agent
cefotiam,2188,Bacterial Infections
cefotiam,2188,Cefotiam
cefotiam,2188,Second-generation cephalosporins
cefotiam,2188,Decreased Cell Wall Synthesis & Repair
cefotiam,2188,Transpeptidase Inhibitors
cefovecin,1591901,Third generation cephalosporin antibacterial agent
cefovecin,1591901,Bacterial Infections
cefovecin,1591901,Cephalosporins
cefovecin,1591901,Decreased Cell Wall Synthesis & Repair
cefovecin,1591901,Transpeptidase Inhibitors
cefoxitin,2189,CEPHALOSPORIN 2ND GENERATION
cefoxitin,2189,Second-generation cephalosporins
cefoxitin,2189,Abscess
cefoxitin,2189,Bacteroides Infections
cefoxitin,2189,"Bone Diseases, Infectious"
cefoxitin,2189,Cefoxitin
cefoxitin,2189,Clostridium Infections
cefoxitin,2189,Drug Hypersensitivity
cefoxitin,2189,Escherichia coli Infections
cefoxitin,2189,Gonorrhea
cefoxitin,2189,Haemophilus Infections
cefoxitin,2189,Klebsiella Infections
cefoxitin,2189,Peritonitis
cefoxitin,2189,"Pregnancy Complications, Infectious"
cefoxitin,2189,Proteus Infections
cefoxitin,2189,Respiratory Tract Infections
cefoxitin,2189,Staphylococcal Infections
cefoxitin,2189,Streptococcal Infections
cefoxitin,2189,Surgical Wound Infection
cefoxitin,2189,Urinary Tract Infections
cefoxitin,2189,"Skin Diseases, Bacterial"
cefoxitin,2189,Soft Tissue Infections
cefoxitin,2189,Sepsis
cefoxitin,2189,Enzyme Inhibitors
cefoxitin,2189,Decreased Cell Wall Synthesis & Repair
cefoxitin,2189,Antibacterial Agent
cefoxitin,2189,Second generation cephalosporin antibacterial agent
cefoxitin,2189,Cephalosporins
cefoxitin,2189,Cephalosporin Antibacterial
cefpirome,27130,Cefpirome
cefpirome,27130,Bacterial Infections
cefpirome,27130,Decreased Cell Wall Synthesis & Repair
cefpirome,27130,Transpeptidase Inhibitors
cefpirome,27130,Fourth generation cephalosporin antibacterial agent
cefpirome,27130,Fourth-generation cephalosporins
cefpodoxime,20489,Third generation cephalosporin antibacterial agent
cefpodoxime,20489,Cefpodoxime
cefpodoxime,20489,Bacterial Infections
cefpodoxime,20489,Cephalosporins
cefpodoxime,20489,Cystitis
cefpodoxime,20489,Drug Hypersensitivity
cefpodoxime,20489,Escherichia coli Infections
cefpodoxime,20489,Gonorrhea
cefpodoxime,20489,Haemophilus Infections
cefpodoxime,20489,Klebsiella Infections
cefpodoxime,20489,Otitis Media
cefpodoxime,20489,Pharyngitis
cefpodoxime,20489,Proteus Infections
cefpodoxime,20489,Staphylococcal Skin Infections
cefpodoxime,20489,Streptococcal Infections
cefpodoxime,20489,Tonsillitis
cefpodoxime,20489,Maxillary Sinusitis
cefpodoxime,20489,Community-Acquired Infections
cefpodoxime,20489,Moraxellaceae Infections
cefpodoxime,20489,Third-generation cephalosporins
cefpodoxime,20489,Enzyme Inhibitors
cefpodoxime,20489,Decreased Cell Wall Synthesis & Repair
cefpodoxime,20489,Cephalosporin Antibacterial
cefpodoxime,20489,CEPHALOSPORIN 3RD GENERATION
cefpodoxime,20489,Cefpodoxime Proxetil
cefpodoxime,20489,Bronchitis
cefpodoxime,20489,Sinusitis
cefpodoxime,20489,Staphylococcal Infections
cefpodoxime,20489,Urinary Tract Infections
cefpodoxime,20489,"Skin Diseases, Bacterial"
cefpodoxime,20489,"Pneumonia, Bacterial"
cefpodoxime,20489,Soft Tissue Infections
cefpodoxime,20489,Transpeptidase Inhibitors
cefprozil,19552,Bronchitis
cefprozil,19552,Drug Hypersensitivity
cefprozil,19552,Escherichia coli Infections
cefprozil,19552,Haemophilus Infections
cefprozil,19552,Klebsiella Infections
cefprozil,19552,Otitis Media
cefprozil,19552,Pharyngitis
cefprozil,19552,Proteus Infections
cefprozil,19552,Sinusitis
cefprozil,19552,Staphylococcal Infections
cefprozil,19552,Streptococcal Infections
cefprozil,19552,"Skin Diseases, Bacterial"
cefprozil,19552,Moraxellaceae Infections
cefprozil,19552,Enzyme Inhibitors
cefprozil,19552,Decreased Cell Wall Synthesis & Repair
cefprozil,19552,Second generation cephalosporin antibacterial agent
cefprozil,19552,Cefprozil
cefprozil,19552,Cephalosporins
cefprozil,19552,Second-generation cephalosporins
cefprozil,19552,Cephalosporin Antibacterial
cefprozil,19552,Antibacterial Agent
cefprozil,19552,CEPHALOSPORIN 2ND GENERATION
cefsulodin,2190,Third generation cephalosporin antibacterial agent
cefsulodin,2190,Bacterial Infections
cefsulodin,2190,Cefsulodin
cefsulodin,2190,Pseudomonas Infections
cefsulodin,2190,Staphylococcal Infections
cefsulodin,2190,Third-generation cephalosporins
cefsulodin,2190,Enzyme Inhibitors
ceftaroline,1040005,Cephalosporin antibacterial agent
ceftaroline,1040005,Ceftaroline
ceftaroline,1040005,Cephalosporins
ceftaroline,1040005,Drug Hypersensitivity
ceftaroline,1040005,Escherichia coli Infections
ceftaroline,1040005,Haemophilus Infections
ceftaroline,1040005,Klebsiella Infections
ceftaroline,1040005,Staphylococcal Infections
ceftaroline,1040005,Streptococcal Infections
ceftaroline,1040005,"Pneumonia, Bacterial"
ceftaroline,1040005,Soft Tissue Infections
ceftaroline,1040005,Enzyme Inhibitors
ceftaroline,1040005,Decreased Cell Wall Synthesis & Repair
ceftaroline,1040005,Cephalosporin Antibacterial
ceftaroline,1040005,Antibacterial Agent
ceftaroline fosamil,1040004,Ceftaroline
ceftaroline fosamil,1040004,Drug Hypersensitivity
ceftaroline fosamil,1040004,Escherichia coli Infections
ceftaroline fosamil,1040004,Klebsiella Infections
ceftaroline fosamil,1040004,Pneumonia
ceftaroline fosamil,1040004,"Skin Diseases, Infectious"
ceftaroline fosamil,1040004,Staphylococcal Infections
ceftaroline fosamil,1040004,Streptococcal Infections
ceftaroline fosamil,1040004,Other cephalosporins and penems
ceftaroline fosamil,1040004,Enzyme Inhibitors
ceftaroline fosamil,1040004,Decreased Cell Wall Synthesis & Repair
ceftaroline fosamil,1040004,"BETA-LACTAMS ANTIMICROBIALS,OTHER"
ceftazidime,2191,Acinetobacter Infections
ceftazidime,2191,"Bone Diseases, Infectious"
ceftazidime,2191,Ceftazidime
ceftazidime,2191,Cephalosporins
ceftazidime,2191,Drug Hypersensitivity
ceftazidime,2191,Escherichia coli Infections
ceftazidime,2191,Fever
ceftazidime,2191,Haemophilus Infections
ceftazidime,2191,Klebsiella Infections
ceftazidime,2191,Neutropenia
ceftazidime,2191,Proteus Infections
ceftazidime,2191,Pseudomonas Infections
ceftazidime,2191,Staphylococcal Infections
ceftazidime,2191,Streptococcal Infections
ceftazidime,2191,Urinary Tract Infections
ceftazidime,2191,Serratia Infections
ceftazidime,2191,"Meningitis, Bacterial"
ceftazidime,2191,"Skin Diseases, Bacterial"
ceftazidime,2191,"Pneumonia, Bacterial"
ceftazidime,2191,Soft Tissue Infections
ceftazidime,2191,Sepsis
ceftazidime,2191,Enzyme Inhibitors
ceftazidime,2191,Decreased Cell Wall Synthesis & Repair
ceftazidime,2191,Cephalosporin Antibacterial
ceftazidime,2191,Beta-lactamase inhibitor antibacterial agent
ceftazidime,2191,CEPHALOSPORIN 3RD GENERATION
ceftazidime,2191,Third-generation cephalosporins
ceftazidime,2191,Third generation cephalosporin antibacterial agent
ceftazidime,2191,Antibacterial Agent
ceftibuten,20492,Bronchitis
ceftibuten,20492,Drug Hypersensitivity
ceftibuten,20492,Escherichia coli Infections
ceftibuten,20492,Haemophilus Infections
ceftibuten,20492,Klebsiella Infections
ceftibuten,20492,Otitis Media
ceftibuten,20492,Streptococcal Infections
ceftibuten,20492,Tonsillitis
ceftibuten,20492,Moraxellaceae Infections
ceftibuten,20492,Enzyme Inhibitors
ceftibuten,20492,Decreased Cell Wall Synthesis & Repair
ceftibuten,20492,Antibacterial Agent
ceftibuten,20492,Third generation cephalosporin antibacterial agent
ceftibuten,20492,Ceftibuten
ceftibuten,20492,Cephalosporins
ceftibuten,20492,Third-generation cephalosporins
ceftibuten,20492,Cephalosporin Antibacterial
ceftibuten,20492,CEPHALOSPORIN 3RD GENERATION
ceftiofur,1311521,Bacterial Infections
ceftiofur,1311521,Cephalosporins
ceftiofur,1311521,Decreased Cell Wall Synthesis & Repair
ceftiofur,1311521,Transpeptidase Inhibitors
ceftiofur,1311521,Third generation cephalosporin antibacterial agent
ceftizoxime,2192,Third generation cephalosporin antibacterial agent
ceftizoxime,2192,Acinetobacter Infections
ceftizoxime,2192,Pelvic Inflammatory Disease
ceftizoxime,2192,Bacteroides Infections
ceftizoxime,2192,"Bone Diseases, Infectious"
ceftizoxime,2192,Cephalosporins
ceftizoxime,2192,Drug Hypersensitivity
ceftizoxime,2192,Escherichia coli Infections
ceftizoxime,2192,Gonorrhea
ceftizoxime,2192,Haemophilus Infections
ceftizoxime,2192,Klebsiella Infections
ceftizoxime,2192,Proteus Infections
ceftizoxime,2192,Pseudomonas Infections
ceftizoxime,2192,Staphylococcal Infections
ceftizoxime,2192,Streptococcal Infections
ceftizoxime,2192,Urinary Tract Infections
ceftizoxime,2192,Ceftizoxime
ceftizoxime,2192,Serratia Infections
ceftizoxime,2192,"Meningitis, Bacterial"
ceftizoxime,2192,"Skin Diseases, Bacterial"
ceftizoxime,2192,"Pneumonia, Bacterial"
ceftizoxime,2192,Soft Tissue Infections
ceftizoxime,2192,Sepsis
ceftizoxime,2192,Third-generation cephalosporins
ceftizoxime,2192,Enzyme Inhibitors
ceftizoxime,2192,Decreased Cell Wall Synthesis & Repair
ceftizoxime,2192,Cephalosporin Antibacterial
ceftizoxime,2192,Antibacterial Agent
ceftobiprole,2691333,Cephalosporin antibacterial agent
ceftobiprole,2691333,Cephalosporins
ceftobiprole,2691333,Pneumonia
ceftobiprole,2691333,"Pneumonia, Staphylococcal"
ceftobiprole,2691333,Staphylococcal Infections
ceftobiprole,2691333,Bacteremia
ceftobiprole,2691333,Decreased Cell Wall Synthesis & Repair
ceftobiprole,2691333,Transpeptidase Inhibitors
ceftolozane,1597609,Bacteroides Infections
ceftolozane,1597609,Cephalosporins
ceftolozane,1597609,Drug Hypersensitivity
ceftolozane,1597609,Escherichia coli Infections
ceftolozane,1597609,Klebsiella Infections
ceftolozane,1597609,Proteus Infections
ceftolozane,1597609,Pseudomonas Infections
ceftolozane,1597609,Streptococcal Infections
ceftolozane,1597609,Urinary Tract Infections
ceftolozane,1597609,Intraabdominal Infections
ceftolozane,1597609,Enzyme Inhibitors
ceftolozane,1597609,Decreased Cell Wall Synthesis & Repair
ceftolozane,1597609,Antibacterial Agent
ceftolozane,1597609,Cephalosporin Antibacterial
ceftolozane,1597609,Cephalosporin antibacterial agent
ceftolozane,1597609,CEPHALOSPORIN 3RD GENERATION
ceftolozane,1597609,Other cephalosporins and penems
ceftriaxone,2193,CEPHALOSPORIN 3RD GENERATION
ceftriaxone,2193,Third-generation cephalosporins
ceftriaxone,2193,Acinetobacter Infections
ceftriaxone,2193,"Bone Diseases, Infectious"
ceftriaxone,2193,Ceftriaxone
ceftriaxone,2193,Chancroid
ceftriaxone,2193,Clostridium Infections
ceftriaxone,2193,Drug Hypersensitivity
ceftriaxone,2193,Enteritis
ceftriaxone,2193,Epididymitis
ceftriaxone,2193,Escherichia coli Infections
ceftriaxone,2193,Gallbladder Diseases
ceftriaxone,2193,Gonorrhea
ceftriaxone,2193,"Jaundice, Neonatal"
ceftriaxone,2193,Klebsiella Infections
ceftriaxone,2193,Lyme Disease
ceftriaxone,2193,Otitis Media
ceftriaxone,2193,Peritonitis
ceftriaxone,2193,Proctocolitis
ceftriaxone,2193,Proteus Infections
ceftriaxone,2193,Pseudomonas Infections
ceftriaxone,2193,Salmonella Infections
ceftriaxone,2193,Staphylococcal Infections
ceftriaxone,2193,Streptococcal Infections
ceftriaxone,2193,Surgical Wound Infection
ceftriaxone,2193,Urinary Tract Infections
ceftriaxone,2193,Bacteroidaceae Infections
ceftriaxone,2193,Serratia Infections
ceftriaxone,2193,"Meningitis, Bacterial"
ceftriaxone,2193,"Skin Diseases, Bacterial"
ceftriaxone,2193,"Pneumonia, Bacterial"
ceftriaxone,2193,Soft Tissue Infections
ceftriaxone,2193,Sepsis
ceftriaxone,2193,Pelvic Infection
ceftriaxone,2193,Enzyme Inhibitors
ceftriaxone,2193,Decreased Cell Wall Synthesis & Repair
ceftriaxone,2193,Antibacterial Agent
ceftriaxone,2193,Third generation cephalosporin antibacterial agent
ceftriaxone,2193,Cephalosporins
ceftriaxone,2193,Cephalosporin Antibacterial
cefuroxime,2194,CEPHALOSPORIN 2ND GENERATION
cefuroxime,2194,Second-generation cephalosporins
cefuroxime,2194,"Bone Diseases, Infectious"
cefuroxime,2194,Cephalosporins
cefuroxime,2194,Drug Hypersensitivity
cefuroxime,2194,Escherichia coli Infections
cefuroxime,2194,Gonorrhea
cefuroxime,2194,Haemophilus Infections
cefuroxime,2194,Impetigo
cefuroxime,2194,Klebsiella Infections
cefuroxime,2194,Lyme Disease
cefuroxime,2194,Penicillins
cefuroxime,2194,Pharyngitis
cefuroxime,2194,Proteus Infections
cefuroxime,2194,Sinusitis
cefuroxime,2194,Surgical Wound Infection
cefuroxime,2194,Urinary Tract Infections
cefuroxime,2194,"Meningitis, Bacterial"
cefuroxime,2194,"Pneumonia, Bacterial"
cefuroxime,2194,Soft Tissue Infections
cefuroxime,2194,Sepsis
cefuroxime,2194,Enzyme Inhibitors
cefuroxime,2194,beta Lactamase Inhibitors
cefuroxime,2194,Decreased Cell Wall Synthesis & Repair
cefuroxime,2194,Antibacterial Agent
cefuroxime,2194,Cefuroxime
cefuroxime,2194,Second generation cephalosporin antibacterial agent
cefuroxime,2194,Cephalosporin Antibacterial
cefuroxime,2194,Antibiotics
celecoxib,140587,COX-2 inhibitor-containing product
celecoxib,140587,Sulfonamide-containing product
celecoxib,140587,Azole-containing product
celecoxib,140587,Celecoxib
celecoxib,140587,"Arthritis, Rheumatoid"
celecoxib,140587,Drug Hypersensitivity
celecoxib,140587,Dysmenorrhea
celecoxib,140587,Osteoarthritis
celecoxib,140587,Adenomatous Polyposis Coli
celecoxib,140587,Pregnancy
celecoxib,140587,"Spondylitis, Ankylosing"
celecoxib,140587,Other antineoplastic agents
celecoxib,140587,Coxibs
celecoxib,140587,Hepatic Metabolism
celecoxib,140587,Renal Excretion
celecoxib,140587,Fecal Excretion
celecoxib,140587,Cyclooxygenase Inhibitors
celecoxib,140587,Cyclooxygenase 2 Inhibitors
celecoxib,140587,Decreased Prostaglandin Production
celecoxib,140587,Nonsteroidal Anti-inflammatory Drug
celecoxib,140587,Dihydropyridine derivatives
celecoxib,140587,CALCIUM CHANNEL BLOCKERS
celecoxib,140587,"NONSALICYLATE NSAIs,ANTIRHEUMATIC"
celecoxib,140587,Opioids in combination with non-opioid analgesics
celecoxib,140587,OPIOID ANALGESICS
celecoxib,140587,SCHEDULE IV
celery allergenic extract,892372,Allergen extracts
celery allergenic extract,892372,Allergens
celery allergenic extract,892372,Dietary Proteins
celery allergenic extract,892372,"Plant Proteins, Dietary"
celery allergenic extract,892372,Increased Histamine Release
celery allergenic extract,892372,Cell-mediated Immunity
celery allergenic extract,892372,Non-Standardized Food Allergenic Extract
celiprolol,20498,"Beta blocking agents, selective"
celiprolol,20498,Angina Pectoris
celiprolol,20498,Hypertension
celiprolol,20498,Celiprolol
celiprolol,20498,Negative Chronotropy
celiprolol,20498,Negative Inotropy
celiprolol,20498,Vasodilation
celiprolol,20498,Adrenergic alpha2-Antagonists
celiprolol,20498,Adrenergic beta2-Agonists
celiprolol,20498,Adrenergic beta1-Antagonists
celiprolol,20498,Increased Sympathetic Activity
celiprolol,20498,Decreased Blood Pressure
celiprolol,20498,Beta-1 adrenergic receptor antagonist-containing product
celiprolol,20498,Alcohol-containing product
celiprolol,20498,Nitrogen and/or nitrogen compound-containing product
cellulase,2219,Cellulase
cellulose,2221,Cellulose
cellulose,2221,Carbohydrate-containing product
cellulose,2221,Polymer-containing product
cellulose,2221,Local hemostatics
cellulose,2221,"Cellulose, Oxidized"
cellulose,2221,Calcium Chelating Activity
cellulose,2221,Calcium Binder
cellulose,2221,Drugs for treatment of hypercalcemia
cellulose acetate phthalate,1425215,Cellulose
cemiplimab,2058826,"Carcinoma, Squamous Cell"
cemiplimab,2058826,Increased Cellular Death
cemiplimab,2058826,Increased Immunologic Activity
cemiplimab,2058826,Programmed Death Receptor-1-directed Antibody Interactions
cemiplimab,2058826,Monoclonal antibody antineoplastic agent
cemiplimab,2058826,Programmed cell death protein 1 inhibitor-containing product
cemiplimab,2058826,"Antibodies, Monoclonal, Humanized"
cemiplimab,2058826,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors
cemiplimab,2058826,"ANTINEOPLASTIC,OTHER"
cenegermin,2104332,Keratitis
cenegermin,2104332,Recombinant Proteins
cenegermin,2104332,Increased Sensory-Somatic Nervous System Nerve Growth Factor Activity
cenegermin,2104332,Protein-containing product
cenegermin,2104332,Nerve growth factor agonist-containing product
cenegermin,2104332,Nerve Growth Factor
cenegermin,2104332,Recombinant Human Nerve Growth Factor
cenegermin,2104332,Other ophthalmologicals
cenegermin,2104332,"OPHTHALMICS,OTHER"
cenobamate,2265690,Anticonvulsant agent
cenobamate,2265690,Carbamates
cenobamate,2265690,Chlorophenols
cenobamate,2265690,"Epilepsies, Partial"
cenobamate,2265690,Tetrazoles
cenobamate,2265690,GABA A Modulators
cenobamate,2265690,Increased Central Nervous System GABA Activity
cenobamate,2265690,Sodium Channel Antagonists
cenobamate,2265690,Cytochrome P450 2B6 Inhibitors
cenobamate,2265690,Cytochrome P450 2C19 Inhibitors
cenobamate,2265690,Cytochrome P450 3A4 Inducers
cenobamate,2265690,Cytochrome P450 2C8 Inducers
cenobamate,2265690,Cytochrome P450 2B6 Inducers
cenobamate,2265690,Cytochrome P450 3A Inhibitors
cenobamate,2265690,GABA A Receptor Positive Modulators
cenobamate,2265690,Other antiepileptics
cenobamate,2265690,ANTICONVULSANTS
cenobamate,2265690,SCHEDULE V
Centella asiatica extract,1310164,Plant Extracts
Centella asiatica extract,1310164,Triterpenes
Centruroides (scorpion) immune F(ab')2 (equine),1119986,Antivenins
Centruroides (scorpion) immune F(ab')2 (equine),1119986,Scorpion Stings
Centruroides (scorpion) immune F(ab')2 (equine),1119986,Passively Acquired Immunity
Centruroides (scorpion) immune F(ab')2 (equine),1119986,Venom Neutralization
Centruroides (scorpion) immune F(ab')2 (equine),1119986,Antivenin
Centruroides (scorpion) immune F(ab')2 (equine),1119986,ANTIVENINS/ANTITOXINS
Centruroides (scorpion) immune F(ab')2 (equine),1119986,Immune sera
cephalexin,2231,"Bites, Human"
cephalexin,2231,"Bone Diseases, Infectious"
cephalexin,2231,Cephalosporins
cephalexin,2231,Drug Hypersensitivity
cephalexin,2231,"Endocarditis, Bacterial"
cephalexin,2231,Escherichia coli Infections
cephalexin,2231,Haemophilus Infections
cephalexin,2231,Klebsiella Infections
cephalexin,2231,Otitis Media
cephalexin,2231,Pharyngitis
cephalexin,2231,Proteus Infections
cephalexin,2231,Staphylococcal Infections
cephalexin,2231,Streptococcal Infections
cephalexin,2231,Surgical Wound Infection
cephalexin,2231,Urinary Tract Infections
cephalexin,2231,"Skin Diseases, Bacterial"
cephalexin,2231,"Pneumonia, Bacterial"
cephalexin,2231,Soft Tissue Infections
cephalexin,2231,Moraxellaceae Infections
cephalexin,2231,Enzyme Inhibitors
cephalexin,2231,Decreased Cell Wall Synthesis & Repair
cephalexin,2231,Cephalosporin Antibacterial
cephalexin,2231,First-generation cephalosporins
cephalexin,2231,CEPHALOSPORIN 1ST GENERATION
cephalexin,2231,Cephalexin
cephalexin,2231,Antibacterial Agent
cephalexin,2231,First generation cephalosporin antibacterial agent
cephaloridine,2233,First generation cephalosporin antibacterial agent
cephaloridine,2233,Cephaloridine
cephaloridine,2233,First-generation cephalosporins
Cephalosporium roseum extract,1925834,Allergens
Cephalosporium roseum extract,1925834,Asthma
Cephalosporium roseum extract,1925834,Cardiovascular Diseases
Cephalosporium roseum extract,1925834,Fungal Proteins
Cephalosporium roseum extract,1925834,Hemorrhagic Disorders
Cephalosporium roseum extract,1925834,Hypersensitivity
Cephalosporium roseum extract,1925834,Immune System Diseases
Cephalosporium roseum extract,1925834,Immunologic Factor Interactions
Cephalosporium roseum extract,1925834,Adrenergic beta-Antagonists
Cephalosporium roseum extract,1925834,Increased Histamine Release
Cephalosporium roseum extract,1925834,Increased T Lymphocyte Activation
Cephalosporium roseum extract,1925834,Cell-mediated Immunity
Cephalosporium roseum extract,1925834,Increased IgG Production
Cephalosporium roseum extract,1925834,Non-Standardized Fungal Allergenic Extract
cephalothin,2236,First generation cephalosporin antibacterial agent
cephalothin,2236,Cephalothin
cephalothin,2236,Drug Hypersensitivity
cephalothin,2236,Escherichia coli Infections
cephalothin,2236,Klebsiella Infections
cephalothin,2236,Proteus Infections
cephalothin,2236,Respiratory Tract Infections
cephalothin,2236,Staphylococcal Infections
cephalothin,2236,Streptococcal Infections
cephalothin,2236,Urinary Tract Infections
cephalothin,2236,"Skin Diseases, Bacterial"
cephalothin,2236,Soft Tissue Infections
cephalothin,2236,First-generation cephalosporins
cephalothin,2236,Decreased Cell Wall Synthesis & Repair
cephalothin,2236,Transpeptidase Inhibitors
cephapirin,2238,Drug Hypersensitivity
cephapirin,2238,Escherichia coli Infections
cephapirin,2238,Klebsiella Infections
cephapirin,2238,Proteus Infections
cephapirin,2238,Respiratory Tract Infections
cephapirin,2238,Staphylococcal Infections
cephapirin,2238,Streptococcal Infections
cephapirin,2238,Urinary Tract Infections
cephapirin,2238,"Skin Diseases, Bacterial"
cephapirin,2238,Soft Tissue Infections
cephapirin,2238,Decreased Cell Wall Synthesis & Repair
cephapirin,2238,Transpeptidase Inhibitors
cephapirin,2238,First generation cephalosporin antibacterial agent
cephapirin,2238,Cephapirin
cephapirin,2238,First-generation cephalosporins
cephradine,2239,First-generation cephalosporins
cephradine,2239,First generation cephalosporin antibacterial agent
cephradine,2239,Cephradine
cephradine,2239,Drug Hypersensitivity
cephradine,2239,Escherichia coli Infections
cephradine,2239,Klebsiella Infections
cephradine,2239,Proteus Infections
cephradine,2239,Respiratory Tract Infections
cephradine,2239,Staphylococcal Infections
cephradine,2239,Streptococcal Infections
cephradine,2239,Urinary Tract Infections
cephradine,2239,"Skin Diseases, Bacterial"
cephradine,2239,Soft Tissue Infections
cephradine,2239,Enzyme Inhibitors
cephradine,2239,Decreased Cell Wall Synthesis & Repair
cephradine,2239,Antibacterial Agent
ceramide 3,1362741,Glycosphingolipids
ceramide 6 II,1314307,Ceramides
ceric oxide,1673068,Cerium
ceritinib,1535457,Protein-tyrosine kinase inhibitor-containing product
ceritinib,1535457,Antineoplastic agent
ceritinib,1535457,Sulfur and/or sulfur compound-containing product
ceritinib,1535457,Nitrogen and/or nitrogen compound-containing product
ceritinib,1535457,"Carcinoma, Non-Small-Cell Lung"
ceritinib,1535457,Pyrimidines
ceritinib,1535457,Sulfones
ceritinib,1535457,Anaplastic lymphoma kinase (ALK) inhibitors
ceritinib,1535457,Tyrosine Kinase Inhibitors
ceritinib,1535457,Kinase Inhibitor
ceritinib,1535457,Cellular Proliferation Alteration
ceritinib,1535457,Cytochrome P450 2C9 Inhibitors
ceritinib,1535457,Cytochrome P450 3A Inhibitors
ceritinib,1535457,"ANTINEOPLASTIC,OTHER"
cerium,1367178,Cerium
cerium oxalate,314546,Other antiemetics
cerivastatin,596723,Coronary Artery Disease
cerivastatin,596723,Drug Hypersensitivity
cerivastatin,596723,Hypercholesterolemia
cerivastatin,596723,Hyperlipoproteinemias
cerivastatin,596723,Pregnancy
cerivastatin,596723,Pyridines
cerivastatin,596723,Hypertriglyceridemia
cerivastatin,596723,Gemfibrozil
cerivastatin,596723,Liver Failure
cerivastatin,596723,Hydroxymethylglutaryl-CoA Reductase Inhibitors
cerivastatin,596723,Decreased Cholesterol Synthesis
cerivastatin,596723,HMG CoA reductase inhibitors
cerivastatin,596723,Nitrogen and/or nitrogen compound-containing product
cerivastatin,596723,HMG-CoA reductase inhibitor-containing product
cerliponase,1922437,Protein-containing product
cerliponase,1922437,Hydrolase-containing product
cerliponase,1922437,Enzymes
cerliponase,1922437,Dipeptidyl-Peptidases and Tripeptidyl-Peptidases
cerliponase,1922437,Neuronal Ceroid-Lipofuscinoses
cerliponase,1922437,Recombinant Proteins
cerliponase,1922437,Enzyme Interactions
cerliponase,1922437,Decreased Lysosomal Function
cerliponase,1922437,Hydrolytic Lysosomal N-terminal Tripeptidyl Peptidase
cerliponase,1922437,"CNS MEDICATIONS,OTHER"
certolizumab pegol,709271,Monoclonal antibody-containing product
certolizumab pegol,709271,Tumor necrosis factor alpha inhibitor-containing product
certolizumab pegol,709271,Certolizumab Pegol
certolizumab pegol,709271,"Arthritis, Rheumatoid"
certolizumab pegol,709271,Crohn Disease
certolizumab pegol,709271,Drug Hypersensitivity
certolizumab pegol,709271,"Spondylitis, Ankylosing"
certolizumab pegol,709271,"Arthritis, Psoriatic"
certolizumab pegol,709271,Tumor necrosis factor alpha (TNF-alpha) inhibitors
certolizumab pegol,709271,Biological Response Modifiers
certolizumab pegol,709271,Immunologic Activity Alteration
certolizumab pegol,709271,Tumor Necrosis Factor alpha Receptor Blocking Activity
certolizumab pegol,709271,Tumor Necrosis Factor Receptor Blocking Activity
certolizumab pegol,709271,Tumor Necrosis Factor Blocker
certolizumab pegol,709271,TUMOR NECROSIS FACTOR BLOCKER
certoparin,152610,Anticoagulant agent
certoparin,152610,Low molecular weight heparin-containing product
certoparin,152610,Hemorrhagic Disorders
certoparin,152610,"Heparin, Low-Molecular-Weight"
certoparin,152610,Pulmonary Embolism
certoparin,152610,Venous Thrombosis
certoparin,152610,Antithrombins
certoparin,152610,Decreased Coagulation Factor Activity
certoparin,152610,Factor Xa Inhibitors
ceruletide diethylamine,20024,Ceruletide
cesium,1310121,Cesium
cesium chloride,20599,Cesium
cesium chloride,20599,Chlorides
cetalkonium chloride,47907,Quaternary Ammonium Compounds
cetalkonium chloride,47907,Fatty Alcohols
ceteareth 20,1311619,Cetomacrogol
cetearyl alcohol,1425218,Fatty Alcohols
cetearyl glucoside,1425219,Glycolipids
cetearyl isononanoate,1312361,Fatty Acids
cetiedil,20609,Other peripheral vasodilators
cetiedil,20609,Azepines
cetiedil,20609,Vasodilation
cetirizine,20610,"ANTIHISTAMINES,PIPERAZINE"
cetirizine,20610,Piperazine derivatives
cetirizine,20610,Sympathomimetics
cetirizine,20610,ANTIHISTAMINE/DECONGESTANT
